model,train_rmse,extrap_rmse,final_state_error,max_state_error,max_invariant_drift
Baseline NN,0.025703355200440172,1.8982059252053103,2.3295021510463996,2.5700729796267603,2.6942607175479902
ResNet,0.003717289034290225,1.2727516817736908,1.8636313201600745,1.9590624388259994,0.932031891187878
PINN,0.17559143904176588,1.0710823648161742,1.981898177523189,1.981898177523189,1.1066829524278168
Neural ODE,0.6377218348825767,0.6841615863703179,0.8234801367095699,1.0286028558679237,0.5611976980028097
